Epoch: [46/100] [   0/   1] time: 280.0106, d_loss: 120.86235046, g_loss: 0.00000000
Epoch: [47/100] [   0/   1] time: 280.8253, d_loss: 0.00000000, g_loss: 295.50207520
Epoch: [48/100] [   0/   1] time: 281.6529, d_loss: 62.68699265, g_loss: 0.00000000
Epoch: [49/100] [   0/   1] time: 282.4696, d_loss: 127.52888489, g_loss: 0.00000000
Epoch: [50/100] [   0/   1] time: 283.2747, d_loss: 112.81806183, g_loss: 0.00000000
Epoch: [51/100] [   0/   1] time: 284.0919, d_loss: 356.22567749, g_loss: 0.00000000
Epoch: [52/100] [   0/   1] time: 284.9075, d_loss: 360.48223877, g_loss: 0.00000000
Epoch: [53/100] [   0/   1] time: 285.7181, d_loss: 174.47779846, g_loss: 0.00000000
Epoch: [54/100] [   0/   1] time: 286.5428, d_loss: 0.00000000, g_loss: 452.54248047
Epoch: [55/100] [   0/   1] time: 287.3494, d_loss: 34.28427505, g_loss: 17.83997726
Epoch: [56/100] [   0/   1] time: 288.1691, d_loss: 32.85498810, g_loss: 104.39524078
Epoch: [57/100] [   0/   1] time: 288.9812, d_loss: 68.54925537, g_loss: 0.00000000
Epoch: [58/100] [   0/   1] time: 289.7934, d_loss: 179.93890381, g_loss: 0.00000000
Epoch: [59/100] [   0/   1] time: 290.6065, d_loss: 232.78143311, g_loss: 0.00000000
Epoch: [60/100] [   0/   1] time: 291.4151, d_loss: 276.80541992, g_loss: 0.00000000
Epoch: [61/100] [   0/   1] time: 292.2458, d_loss: 260.14025879, g_loss: 0.00000000
Epoch: [62/100] [   0/   1] time: 293.0709, d_loss: 124.98841095, g_loss: 0.00000000
Epoch: [63/100] [   0/   1] time: 293.8801, d_loss: 113.73204041, g_loss: 256.47583008
Epoch: [64/100] [   0/   1] time: 294.6842, d_loss: 199.13461304, g_loss: 0.00000000
Epoch: [65/100] [   0/   1] time: 295.4909, d_loss: 238.12821960, g_loss: 0.00000000
Epoch: [66/100] [   0/   1] time: 296.3115, d_loss: 0.00000000, g_loss: 412.88632202
Epoch: [67/100] [   0/   1] time: 297.1131, d_loss: 0.02105785, g_loss: 10.03492928
Epoch: [68/100] [   0/   1] time: 297.9193, d_loss: 50.63431168, g_loss: 17.81545830
Epoch: [69/100] [   0/   1] time: 298.7304, d_loss: 0.00001454, g_loss: 580.45898438
Epoch: [70/100] [   0/   1] time: 299.5396, d_loss: 0.00017172, g_loss: 570.76489258
Epoch: [71/100] [   0/   1] time: 300.3562, d_loss: 0.00057462, g_loss: 266.31842041
Epoch: [72/100] [   0/   1] time: 301.1594, d_loss: 0.00092383, g_loss: 589.87353516
Epoch: [73/100] [   0/   1] time: 301.9705, d_loss: 0.00094981, g_loss: 178.02014160
Epoch: [74/100] [   0/   1] time: 302.7896, d_loss: 0.00077184, g_loss: 176.48843384
Epoch: [75/100] [   0/   1] time: 303.6078, d_loss: 0.00057996, g_loss: 138.70663452
Epoch: [76/100] [   0/   1] time: 304.4259, d_loss: 27.41304016, g_loss: 0.00000030
Epoch: [77/100] [   0/   1] time: 305.2441, d_loss: 61.76065063, g_loss: 0.00000000
Epoch: [78/100] [   0/   1] time: 306.0597, d_loss: 53.12348938, g_loss: 0.00000000
Epoch: [79/100] [   0/   1] time: 306.8654, d_loss: 16.18566132, g_loss: 35.91281891
Epoch: [80/100] [   0/   1] time: 307.6800, d_loss: 0.00000000, g_loss: 427.01226807
Epoch: [81/100] [   0/   1] time: 308.4901, d_loss: 0.00000000, g_loss: 239.03903198
Epoch: [82/100] [   0/   1] time: 309.2928, d_loss: 0.00000000, g_loss: 185.38003540
Epoch: [83/100] [   0/   1] time: 310.1094, d_loss: 44.19955444, g_loss: 96.24278259
Epoch: [84/100] [   0/   1] time: 310.9251, d_loss: 122.32672882, g_loss: 0.00000000
Epoch: [85/100] [   0/   1] time: 311.7457, d_loss: 166.09375000, g_loss: 89.83090210
Epoch: [86/100] [   0/   1] time: 312.5644, d_loss: 70.30421448, g_loss: 0.00000000
Epoch: [87/100] [   0/   1] time: 313.3670, d_loss: 106.44129944, g_loss: 0.00000000
Epoch: [88/100] [   0/   1] time: 314.1801, d_loss: 62.24895096, g_loss: 11.19002819
Epoch: [89/100] [   0/   1] time: 314.9853, d_loss: 106.02844238, g_loss: 40.68320084
Epoch: [90/100] [   0/   1] time: 315.7999, d_loss: 0.00000000, g_loss: 145.90066528
Epoch: [91/100] [   0/   1] time: 316.6261, d_loss: 65.26594543, g_loss: 0.00000000
Epoch: [92/100] [   0/   1] time: 317.4392, d_loss: 31.83792686, g_loss: 1.45774615
Epoch: [93/100] [   0/   1] time: 318.2639, d_loss: 0.00243590, g_loss: 45.31365967
Epoch: [94/100] [   0/   1] time: 319.0850, d_loss: 0.00000000, g_loss: 129.40206909
Epoch: [95/100] [   0/   1] time: 319.9016, d_loss: 239.06570435, g_loss: 0.00000000
Epoch: [96/100] [   0/   1] time: 320.7153, d_loss: 18.09682465, g_loss: 15.00189304
Epoch: [97/100] [   0/   1] time: 321.5254, d_loss: 35.84571838, g_loss: 11.63899517
Epoch: [98/100] [   0/   1] time: 322.3466, d_loss: 114.22195435, g_loss: 0.00000000
Epoch: [99/100] [   0/   1] time: 323.1553, d_loss: 12.97592640, g_loss: 27.51531601
